date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm
2015-08-22,Baghpat,Rice,27.99,13.49,1.87,20.28,5.6272735408536185,110.36548912525177
2015-08-23,Baghpat,Rice,27.67,30.72,1.82,20.03,5.560139271513411,115.30456244945526
2015-08-24,Baghpat,Rice,27.63,4.24,2.52,22.55,5.660380726594919,109.03168022632599
2015-08-25,Baghpat,Rice,27.78,0.0,2.71,24.26,5.74363800235297,102.19726860523224
2015-08-26,Baghpat,Rice,27.78,0.18,2.36,22.43,5.64040561046989,98.54583442211151
2015-08-27,Baghpat,Rice,28.43,8.61,1.49,22.74,5.718667562022292,96.40617370605469
2015-08-28,Baghpat,Rice,28.59,0.39,1.77,20.28,5.600859806863645,93.81637573242188
2015-08-29,Baghpat,Rice,28.76,2.03,1.87,23.18,5.7453936701369255,89.87999260425568
2015-08-30,Baghpat,Rice,28.45,0.0,2.35,22.19,5.64149645222703,86.84367835521698
2015-08-31,Baghpat,Rice,27.51,3.0,2.68,23.21,5.557005379443171,82.55234062671661
2015-09-01,Baghpat,Rice,27.4,0.07,2.89,23.93,5.558934456898234,77.95219123363495
2015-09-02,Baghpat,Rice,27.19,0.15,2.57,21.66,5.4088550469437555,73.82145076990128
2015-09-03,Baghpat,Rice,27.33,3.1,1.99,21.59,5.403806272213724,70.11814266443253
2015-09-04,Baghpat,Rice,27.01,0.08,2.08,22.78,5.402292170063451,67.08011627197266
2015-09-05,Baghpat,Rice,26.74,0.0,2.45,24.05,5.40906356079598,63.98506164550781
2015-09-06,Baghpat,Rice,27.24,0.0,2.42,23.64,5.431476701423548,61.057090759277344
2015-09-07,Baghpat,Rice,27.66,0.0,2.35,23.47,5.454389770660234,58.394622802734375
2015-09-08,Baghpat,Rice,27.83,0.0,2.8,23.26,5.444828725042804,56.09283596277237
2015-09-09,Baghpat,Rice,28.32,0.0,2.88,23.49,5.493603462836549,53.890228271484375
2015-09-10,Baghpat,Rice,27.94,0.0,2.28,23.5,5.428155966008837,52.03494876623154
2015-09-11,Baghpat,Rice,28.1,0.0,1.81,22.71,5.388984376991481,50.53062289953232
2015-09-12,Baghpat,Rice,29.49,0.02,1.08,19.5,5.372000913393494,49.35760349035263
2015-09-13,Baghpat,Rice,30.01,0.01,0.87,19.93,5.43066384186987,48.3856201171875
2015-09-14,Baghpat,Rice,30.34,0.35,1.28,20.3,5.464355387233067,47.45044559240341
2015-09-15,Baghpat,Rice,30.75,0.0,1.09,20.16,5.480826149984464,46.65412902832031
2015-09-16,Baghpat,Rice,30.32,1.6,0.78,18.44,5.321866763094242,46.09985500574112
2015-09-17,Baghpat,Rice,30.81,0.0,0.67,17.71,5.314847959169477,45.700836181640625
2015-09-18,Baghpat,Rice,29.21,8.28,1.35,15.68,5.013955301395022,49.13978576660156
